from,to,distance_km,transport_mode,emissions_kgCO2e
HAA,JPN,9523.222206687215,air,64357.9356727922
HAA,CHN,9196.463665234258,air,62149.70144965312
HAA,MIA,7126.000350317629,air,48157.510367446535
HAA,MON,1237.7695756308499,land,1021.1598998954512
HAA,CAN,5220.892925480432,air,35282.79439039676
HAA,ESP,1367.3332793031593,land,1128.0499554251064
HAA,MAD,1516.0975558593286,land,1250.7804835839463
HAA,AUT,1413.7997351038348,land,1166.3847814606638
HAA,GBR,107.57688264021131,land,88.75092817817433
HAA,HUN,1749.6588675222736,land,1443.4685657058758
HAA,BEL,530.3507262101492,land,437.53934912337314
HAA,NED,400.0287915738761,land,330.02375304844776
HAA,MONZ,1139.721172423513,land,940.2699672493983
HAA,SIN,10847.37965551725,air,73306.59171198559
HAA,AZE,3969.9326871347207,air,26828.80509965644
HAA,USA_COT,7910.079486235547,air,53456.317167979825
HAA,USA_LVG,8401.772163176644,air,56779.17627874776
HAA,MEX,8928.726748110446,air,60340.335363730395
HAA,BRA,9497.425213302857,air,64183.59959150071
HAA,QAT,5201.601814636079,air,35152.42506331063
HAA,ABD,5474.542555317951,air,36996.958588838716
RB,BAH,4051.938210700812,air,27382.99842791609
RB,SAU,3604.904314680004,air,24361.943358607467
RB,AUS,16115.472457845271,air,108908.36287011835
RB,JPN,9604.985003213402,air,64910.48865171617
RB,CHN,9025.79303718953,air,60996.309345326845
RB,MIA,8149.538581934372,air,55074.58173671249
RB,MON,388.3357181086307,land,320.37696743962033
RB,CAN,6341.212091987668,air,42853.91131765266
RB,ESP,986.1440590567229,land,813.5688487217965
RB,MAD,1575.1454139326893,land,1299.4949664944688
RB,AUT,483.60550986454984,land,398.97454563825363
RB,GBR,1490.8033535237107,land,1229.9127666570614
RB,HUN,839.8699085127342,land,692.8926745230058
RB,BEL,925.9060384472417,land,763.8724817189744
RB,NED,1209.0917485614107,land,997.5006925631639
RB,MONZ,247.37371333962724,land,204.08331350519248
RB,SIN,10098.14275816927,air,68243.24875970793
RB,AZE,3162.0600000911586,air,21369.201480616048
RB,USA_COT,9036.439660411317,air,61068.259225059686
